file	line	column	rule	message
docker/frontend/src/__tests__/integration/market-data-api.test.ts	38	55	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/__tests__/integration/market-data-api.test.ts	52	55	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/__tests__/integration/market-data-api.test.ts	91	55	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/__tests__/integration/market-data-api.test.ts	121	55	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/__tests__/integration/market-data-api.test.ts	169	55	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/__tests__/integration/market-data-api.test.ts	187	55	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/__tests__/integration/market-data-api.test.ts	205	55	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/__tests__/integration/market-data-api.test.ts	239	55	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/__tests__/utils/sanitize.test.ts	39	35	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/__tests__/utils/sanitize.test.ts	40	40	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/__tests__/utils/sanitize.test.ts	131	35	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/(auth)/login/page.tsx	57	16	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/app/(auth)/login/page.tsx	126	14	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/app/(auth)/register/page.tsx	43	16	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/app/(auth)/register/page.tsx	115	14	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/app/admin/analytics/brokers/page.tsx	25	41	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/analytics/brokers/page.tsx	26	42	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/analytics/brokers/page.tsx	34	16	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/app/admin/analytics/platform/page.tsx	25	41	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/analytics/platform/page.tsx	26	42	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/analytics/platform/page.tsx	34	16	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/app/admin/analytics/reports/page.tsx	25	41	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/analytics/reports/page.tsx	26	42	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/analytics/reports/page.tsx	34	16	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/app/admin/brokers/[id]/page.tsx	27	41	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/brokers/[id]/page.tsx	28	42	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/brokers/[id]/page.tsx	36	16	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/app/admin/brokers/onboard/page.tsx	25	41	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/brokers/onboard/page.tsx	26	42	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/brokers/onboard/page.tsx	34	16	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/app/admin/brokers/page.tsx	25	41	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/brokers/page.tsx	26	42	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/brokers/page.tsx	34	16	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/app/admin/brokers/settings/page.tsx	25	41	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/brokers/settings/page.tsx	26	42	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/brokers/settings/page.tsx	34	16	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/app/admin/compliance/audit/page.tsx	25	41	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/compliance/audit/page.tsx	26	42	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/compliance/audit/page.tsx	34	16	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/app/admin/compliance/kyc/page.tsx	25	41	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/app/admin/compliance/kyc/page.tsx	26	42	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
